scenario_name,model,variable,use_technology_fuel,time_resolution,timestamp,value
abroad-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2025,0.6671017451906623
abroad-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2025,0.00367404187601
abroad-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2030,2.9511557080526787
abroad-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2030,0.0036740429363234
abroad-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2035,6.611320461654221
abroad-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2035,0.0029611722219849
abroad-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2040,7.702595145547041
abroad-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2040,1.1088008310200466
abroad-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2045,12.686687977262483
abroad-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2045,1.1108221227288269
abroad-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2050,15.267771608605202
abroad-nores-full,zengarden,passenger_road_private_fec,electricity,annual,2050,1.1108220466942291
abroad-nores-full,zengarden,passenger_road_private_fec,oil,annual,2025,35.87773008125988
abroad-nores-full,zengarden,passenger_road_private_fec,oil,annual,2025,3.150059326552368
abroad-nores-full,zengarden,passenger_road_private_fec,oil,annual,2030,27.828923263654605
abroad-nores-full,zengarden,passenger_road_private_fec,oil,annual,2030,3.150057957919105
abroad-nores-full,zengarden,passenger_road_private_fec,oil,annual,2035,17.222625505178847
abroad-nores-full,zengarden,passenger_road_private_fec,oil,annual,2035,1.9023596383611336
abroad-nores-full,zengarden,passenger_road_private_fec,oil,annual,2040,14.094771558774893
abroad-nores-full,zengarden,passenger_road_private_fec,oil,annual,2040,5.557668352234716e-09
abroad-nores-full,zengarden,passenger_road_private_fec,oil,annual,2045,6.085365320674679
abroad-nores-full,zengarden,passenger_road_private_fec,oil,annual,2045,4.848387000901728e-09
abroad-nores-full,zengarden,passenger_road_private_fec,oil,annual,2050,1.621630807498944
abroad-nores-full,zengarden,passenger_road_private_fec,oil,annual,2050,2.3269008853939555e-08
abroad-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2025,0.6671017838953107
abroad-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2025,0.003674039977014
abroad-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2030,2.95115574603748
abroad-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2030,0.0036740440869078
abroad-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2035,4.909766637907515
abroad-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2035,0.0029611894671096
abroad-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2040,6.001041343305883
abroad-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2040,1.108974116761233
abroad-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2045,8.333283110536078
abroad-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2045,1.1108220840834002
abroad-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2050,9.796999389074212
abroad-nores-lim,zengarden,passenger_road_private_fec,electricity,annual,2050,1.110821764241082
abroad-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2025,35.877730329216
abroad-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2025,3.150058604849737
abroad-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2030,27.828923509170043
abroad-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2030,3.1500527856935507
abroad-nores-lim,zengarden,passenger_road_private_fec,oil,annual,2035,19.824357903498893
