scenario_group,scenario_name,scenario_variant,variable,use_technology_fuel,country,model,unit,time_resolution,timestamp,value,uploaded_by,uploaded_at
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,elec_appliances,CH,seseth,TWh,annual,2050,35.939418,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,battery_in,CH,seseth,TWh,annual,2050,1.1801129,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,phs_in,CH,seseth,TWh,annual,2050,8.40082,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,road_public,CH,seseth,TWh,annual,2050,0.27698343,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,road_private,CH,seseth,TWh,annual,2050,14.575877,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,truck,CH,seseth,TWh,annual,2050,1.7978552,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,ldv,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,passenger_rail,CH,seseth,TWh,annual,2050,2.6231035,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,freight_rail,CH,seseth,TWh,annual,2050,0.72119116,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,space_heating_boiler_electrode,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,space_heating_heater_elec,CH,seseth,TWh,annual,2050,2.1460508,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,space_heating_heat_pump,CH,seseth,TWh,annual,2050,11.948763,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,process_heat_boiler_electrode,CH,seseth,TWh,annual,2050,9.251321,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,process_heat_heater_elec,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,process_heat_heat_pump,CH,seseth,TWh,annual,2050,0.001,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,electrolysis,CH,seseth,TWh,annual,2050,0.30747354,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,power_to_liquid,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,exports,CH,seseth,TWh,annual,2050,6.9141865,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,grid_losses,CH,seseth,TWh,annual,2050,6.948005,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,storage_losses,CH,seseth,TWh,annual,2050,1.9236376,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,dac,CH,seseth,TWh,annual,2050,0.6065431,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_consumption,data_centers,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,methane_chp_woccs,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,methane_chp_ccs,CH,seseth,TWh,annual,2050,0.010086405,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,methane_oc_woccs,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,methane_oc_ccs,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,methane_cc_woccs,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,methane_cc_ccs,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,liquids_chp_woccs,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,liquids_chp_ccs,CH,seseth,TWh,annual,2050,0.980505,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,liquids_oc_woccs,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,liquids_oc_ccs,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,liquids_cc_woccs,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,liquids_cc_ccs,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,hydrogen_chp,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,hydrogen_cc,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,wood_chp_woccs,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,wood_chp_ccs,CH,seseth,TWh,annual,2050,0.003391864,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,wood_cc_woccs,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,wood_cc_ccs,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,waste_chp_woccs,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,waste_chp_ccs,CH,seseth,TWh,annual,2050,2.9721787,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,waste_cc_woccs,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,waste_cc_ccs,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,nuclear,CH,seseth,TWh,annual,2050,8.1360073,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,fuel_cell_h2,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,fuel_cell_methane,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,hydro_dam,CH,seseth,TWh,annual,2050,19.470412,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,hydro_ror,CH,seseth,TWh,annual,2050,15.668019,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,spv_rooftop,CH,seseth,TWh,annual,2050,28.152625,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,spv_facade,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,spv_mountain,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,spv_agriculture,CH,seseth,TWh,annual,2050,8.711368,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,wind,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,geothermal_pp,CH,seseth,TWh,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,imports,CH,seseth,TWh,annual,2050,11.868178,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,battery_out,CH,seseth,TWh,annual,2050,0.85263165,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,phs_out,CH,seseth,TWh,annual,2050,6.8046646,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,electricity_supply,curtailment,CH,seseth,TWh,annual,2050,0.67447266,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,installed_capacity,methane_chp_woccs,CH,seseth,GW,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,installed_capacity,methane_chp_ccs,CH,seseth,GW,annual,2050,0.001091704,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,installed_capacity,methane_oc_woccs,CH,seseth,GW,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,installed_capacity,methane_oc_ccs,CH,seseth,GW,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,installed_capacity,methane_cc_woccs,CH,seseth,GW,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,installed_capacity,methane_cc_ccs,CH,seseth,GW,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,installed_capacity,liquids_chp_woccs,CH,seseth,GW,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,installed_capacity,liquids_chp_ccs,CH,seseth,GW,annual,2050,0.001091704,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,installed_capacity,liquids_oc_woccs,CH,seseth,GW,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,installed_capacity,liquids_oc_ccs,CH,seseth,GW,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,installed_capacity,liquids_cc_woccs,CH,seseth,GW,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
nuclear2025,abroad-resnuc-low,reference,installed_capacity,liquids_cc_ccs,CH,seseth,GW,annual,2050,0,seseth,2025-12-01 10:35:36.861702+00:00
