scenario_group,scenario_name,scenario_variant,variable,use_technology_fuel,country,model,unit,time_resolution,timestamp,value,uploaded_by,uploaded_at
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,battery_in,CH,nexuse,TWh,annual,2050,0.705049662,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,exports,CH,nexuse,TWh,annual,2050,34.8525875,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,phs_in,CH,nexuse,TWh,annual,2050,1.1171579,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,battery_out,CH,nexuse,TWh,annual,2050,0.629442878,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,fuel_cell_h2,CH,nexuse,TWh,annual,2050,0.025719081,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,hydro_dam,CH,nexuse,TWh,annual,2050,17.92716522,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,hydro_ror,CH,nexuse,TWh,annual,2050,19.47410545,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,imports,CH,nexuse,TWh,annual,2050,55.39009647,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,methane_cc_woccs,CH,nexuse,TWh,annual,2050,0.015443963,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,nuclear,CH,nexuse,TWh,annual,2050,0.667165878,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,phs_out,CH,nexuse,TWh,annual,2050,5.125450282,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,spv_mountain,CH,nexuse,TWh,annual,2050,0.225398091,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,spv_rooftop,CH,nexuse,TWh,annual,2050,3.030426478,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,waste_chp_woccs,CH,nexuse,TWh,annual,2050,0.889500901,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,wind,CH,nexuse,TWh,annual,2050,3.184980402,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,installed_capacity,battery_out,CH,nexuse,GW,annual,2050,0.368,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,installed_capacity,fuel_cell_h2,CH,nexuse,GW,annual,2050,0.04,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,installed_capacity,hydro_dam,CH,nexuse,GW,annual,2050,8.6149,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,installed_capacity,hydro_ror,CH,nexuse,GW,annual,2050,4.30475,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,installed_capacity,methane_cc_woccs,CH,nexuse,GW,annual,2050,0.245,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,installed_capacity,nuclear,CH,nexuse,GW,annual,2050,0.088,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,installed_capacity,phs_out,CH,nexuse,GW,annual,2050,6.4366,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,installed_capacity,spv_mountain,CH,nexuse,GW,annual,2050,0.149,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,installed_capacity,spv_rooftop,CH,nexuse,GW,annual,2050,2.39493,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,installed_capacity,waste_chp_woccs,CH,nexuse,GW,annual,2050,0.2285,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-low,wacc_5,installed_capacity,wind,CH,nexuse,GW,annual,2050,1.20396,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,electricity_consumption,battery_in,CH,nexuse,TWh,annual,2050,0.643841667,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,electricity_consumption,exports,CH,nexuse,TWh,annual,2050,35.00319396,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,electricity_consumption,phs_in,CH,nexuse,TWh,annual,2050,1.088361537,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,electricity_supply,battery_out,CH,nexuse,TWh,annual,2050,0.574108077,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,electricity_supply,fuel_cell_h2,CH,nexuse,TWh,annual,2050,0.027574782,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,electricity_supply,hydro_dam,CH,nexuse,TWh,annual,2050,17.94261187,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,electricity_supply,hydro_ror,CH,nexuse,TWh,annual,2050,19.48437755,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,electricity_supply,imports,CH,nexuse,TWh,annual,2050,55.57673542,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,electricity_supply,methane_cc_woccs,CH,nexuse,TWh,annual,2050,0.010767174,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,electricity_supply,nuclear,CH,nexuse,TWh,annual,2050,0.256418471,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,electricity_supply,phs_out,CH,nexuse,TWh,annual,2050,5.110609186,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,electricity_supply,spv_mountain,CH,nexuse,TWh,annual,2050,0.232456064,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,electricity_supply,spv_rooftop,CH,nexuse,TWh,annual,2050,3.056149884,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,electricity_supply,waste_chp_woccs,CH,nexuse,TWh,annual,2050,0.890764738,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,electricity_supply,wind,CH,nexuse,TWh,annual,2050,3.118130437,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,installed_capacity,battery_out,CH,nexuse,GW,annual,2050,0.371,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,installed_capacity,fuel_cell_h2,CH,nexuse,GW,annual,2050,0.06,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,installed_capacity,hydro_dam,CH,nexuse,GW,annual,2050,8.6149,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,installed_capacity,hydro_ror,CH,nexuse,GW,annual,2050,4.30475,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,installed_capacity,methane_cc_woccs,CH,nexuse,GW,annual,2050,0.25,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,installed_capacity,nuclear,CH,nexuse,GW,annual,2050,0.0344,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,installed_capacity,phs_out,CH,nexuse,GW,annual,2050,6.4366,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,installed_capacity,spv_mountain,CH,nexuse,GW,annual,2050,0.152,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,installed_capacity,spv_rooftop,CH,nexuse,GW,annual,2050,2.40857,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,installed_capacity,waste_chp_woccs,CH,nexuse,GW,annual,2050,0.2285,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-nores-medium,wacc_5,installed_capacity,wind,CH,nexuse,GW,annual,2050,1.17426,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-res-low,wacc_5,electricity_consumption,battery_in,CH,nexuse,TWh,annual,2050,0.459230612,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-res-low,wacc_5,electricity_consumption,exports,CH,nexuse,TWh,annual,2050,51.14831703,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-res-low,wacc_5,electricity_consumption,phs_in,CH,nexuse,TWh,annual,2050,4.782266567,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-res-low,wacc_5,electricity_supply,battery_out,CH,nexuse,TWh,annual,2050,0.413307848,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-res-low,wacc_5,electricity_supply,fuel_cell_h2,CH,nexuse,TWh,annual,2050,0.015665036,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-res-low,wacc_5,electricity_supply,hydro_dam,CH,nexuse,TWh,annual,2050,17.86046673,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-res-low,wacc_5,electricity_supply,hydro_ror,CH,nexuse,TWh,annual,2050,19.33622198,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-res-low,wacc_5,electricity_supply,imports,CH,nexuse,TWh,annual,2050,40.7883585,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-res-low,wacc_5,electricity_supply,methane_cc_woccs,CH,nexuse,TWh,annual,2050,0.00692279,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-res-low,wacc_5,electricity_supply,nuclear,CH,nexuse,TWh,annual,2050,0.197694925,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-res-low,wacc_5,electricity_supply,phs_out,CH,nexuse,TWh,annual,2050,8.190225435,nexuse,2025-12-11 09:09:50.673608+00:00
nuclear2025,abroad-res-low,wacc_5,electricity_supply,spv_mountain,CH,nexuse,TWh,annual,2050,3.128195402,nexuse,2025-12-11 09:09:50.673608+00:00
