scenario_group,scenario_name,scenario_variant,variable,use_technology_fuel,country,model,unit,time_resolution,timestamp,value,uploaded_by,uploaded_at
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,elec_appliances,CH,seseth,TWh,annual,2050,35.742234,seseth,2025-12-11 12:56:14.816112+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,battery_in,CH,seseth,TWh,annual,2050,0,seseth,2025-12-11 12:56:14.816112+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,phs_in,CH,seseth,TWh,annual,2050,3.5801177,seseth,2025-12-11 12:56:14.816112+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,road_public,CH,seseth,TWh,annual,2050,0.27698343,seseth,2025-12-11 12:56:14.816112+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,road_private,CH,seseth,TWh,annual,2050,14.575877,seseth,2025-12-11 12:56:14.816112+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,truck,CH,seseth,TWh,annual,2050,1.7978552,seseth,2025-12-11 12:56:14.816112+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,ldv,CH,seseth,TWh,annual,2050,0,seseth,2025-12-11 12:56:14.816112+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,passenger_rail,CH,seseth,TWh,annual,2050,2.6231035,seseth,2025-12-11 12:56:14.816112+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,freight_rail,CH,seseth,TWh,annual,2050,0.72119116,seseth,2025-12-11 12:56:14.816112+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,space_heating_boiler_electrode,CH,seseth,TWh,annual,2050,0,seseth,2025-12-11 12:56:14.816112+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,space_heating_heater_elec,CH,seseth,TWh,annual,2050,1.3656272,seseth,2025-12-11 12:56:14.816112+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,space_heating_heat_pump,CH,seseth,TWh,annual,2050,11.849956,seseth,2025-12-11 12:56:14.816112+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,process_heat_boiler_electrode,CH,seseth,TWh,annual,2050,13.155812,seseth,2025-12-11 12:56:14.816112+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,process_heat_heater_elec,CH,seseth,TWh,annual,2050,0,seseth,2025-12-11 12:56:14.816112+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,process_heat_heat_pump,CH,seseth,TWh,annual,2050,0.001,seseth,2025-12-11 12:56:14.816112+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,electrolysis,CH,seseth,TWh,annual,2050,3.144648,seseth,2025-12-11 12:56:14.816112+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,power_to_liquid,CH,seseth,TWh,annual,2050,0,seseth,2025-12-11 12:56:14.816112+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,exports,CH,seseth,TWh,annual,2050,0,seseth,2025-12-11 12:56:14.816112+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,grid_losses,CH,seseth,TWh,annual,2050,6.1049766,seseth,2025-12-11 12:56:14.816112+00:00
