scenario,model,variable,unit,timeResolution,timestep,value
abroad-alone,Expanse,Electricity-consumption|Battery-in,TWh,annual,2050,1.086090559
abroad-alone,Expanse,Electricity-consumption|Electrolysis,TWh,annual,2050,0.009903261
abroad-alone,Expanse,Electricity-consumption|Exports,TWh,annual,2050,30.24451099
abroad-alone,Expanse,Electricity-consumption|PHS-in,TWh,annual,2050,5.11089549
abroad-alone,Expanse,Electricity-consumption|Total,TWh,annual,2050,112.4514003
abroad-alone,Expanse,Electricity-consumption|Total demand,TWh,annual,2050,76.0
abroad-alone,Expanse,Electricity-supply|Battery-out,TWh,annual,2050,0.155636555
abroad-alone,Expanse,Electricity-supply|Biogas,TWh,annual,2050,2.880367684
abroad-alone,Expanse,Electricity-supply|Gas,TWh,annual,2050,1.86070681
abroad-alone,Expanse,Electricity-supply|Hydro Dams,TWh,annual,2050,22.4973305
abroad-alone,Expanse,Electricity-supply|Hydro RoR,TWh,annual,2050,17.53670875
abroad-alone,Expanse,Electricity-supply|Hydrogen,TWh,annual,2050,0.001894538
abroad-alone,Expanse,Electricity-supply|Imports,TWh,annual,2050,35.73707116
abroad-alone,Expanse,Electricity-supply|PHS-out,TWh,annual,2050,4.139052071
abroad-alone,Expanse,Electricity-supply|Solar,TWh,annual,2050,10.09965485
abroad-alone,Expanse,Electricity-supply|Total,TWh,annual,2050,113.1825187
abroad-alone,Expanse,Electricity-supply|Waste,TWh,annual,2050,3.364209427
abroad-alone,Expanse,Electricity-supply|Wind,TWh,annual,2050,13.71710343
abroad-alone,Expanse,Electricity-supply|Wood,TWh,annual,2050,1.192782912
abroad-alone,Expanse,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 00:00,0.0
abroad-alone,Expanse,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 01:00,0.0
abroad-alone,Expanse,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 02:00,0.0
abroad-alone,Expanse,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 03:00,0.0
abroad-alone,Expanse,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 04:00,0.0
abroad-alone,Expanse,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 05:00,0.0
abroad-alone,Expanse,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 06:00,0.0
abroad-alone,Expanse,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 07:00,0.010587419
abroad-alone,Expanse,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 08:00,0.083465056
