scenario,model,variable,unit,timeResolution,timestep,value
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Base,TWh,annual,2050,34.63729
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-in,TWh,annual,2050,2.012129736
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Battery-vehicles,TWh,annual,2050,13.145114
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DAC,TWh,annual,2050,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|DSM Up,TWh,annual,2050,2.189946446
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electric heaters,TWh,annual,2050,2.727664
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Electrolysis,TWh,annual,2050,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Exports,TWh,annual,2050,18.71967613
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Grid-losses,TWh,annual,2050,5.314532
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Heat pumps,TWh,annual,2050,11.731906
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|New processes,TWh,annual,2050,1.762665
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|PHS-in,TWh,annual,2050,11.95637685
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Total,TWh,annual,2050,109.8903501
abroad-alone,"Nexus-e+
EP2050+",Electricity-consumption|Trains,TWh,annual,2050,3.729288
abroad-alone,"Nexus-e+
EP2050+",Electricity-supply|Battery-out,TWh,annual,2050,1.708911825
abroad-alone,"Nexus-e+
EP2050+",Electricity-supply|Biogas,TWh,annual,2050,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-supply|DSM Down,TWh,annual,2050,2.189946446
abroad-alone,"Nexus-e+
EP2050+",Electricity-supply|Emob Shift Down,TWh,annual,2050,1.963761921
abroad-alone,"Nexus-e+
EP2050+",Electricity-supply|Emob Shift Up,TWh,annual,2050,1.963761921
abroad-alone,"Nexus-e+
EP2050+",Electricity-supply|Gas,TWh,annual,2050,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-supply|Geothermal,TWh,annual,2050,0.0
abroad-alone,"Nexus-e+
EP2050+",Electricity-supply|Hydro Dams,TWh,annual,2050,12.77702698
abroad-alone,"Nexus-e+
EP2050+",Electricity-supply|Hydro RoR,TWh,annual,2050,13.9405457
