scenario,model,variable,unit,timeResolution,timestep,value
abroad-alone,SES-ETH,CO2|DAC,MtCO2,annual,2050,2.30855e-14
abroad-alone,SES-ETH,CO2|Net emissions,MtCO2,annual,2050,0.0
abroad-alone,SES-ETH,CO2|Total captured,MtCO2,annual,2050,6.39141154
abroad-alone,SES-ETH,CO2|Total stored,MtCO2,annual,2050,6.3914115
abroad-alone,SES-ETH,CO2|Total utilised in fuel synthesis,MtCO2,annual,2050,0.0
abroad-alone,SES-ETH,Electricity-consumption|Base,TWh,annual,2050,35.5075643
abroad-alone,SES-ETH,Electricity-consumption|Battery-in,TWh,annual,2050,0.0
abroad-alone,SES-ETH,Electricity-consumption|Battery-vehicles,TWh,annual,2050,16.742423
abroad-alone,SES-ETH,Electricity-consumption|Electric heaters,TWh,annual,2050,3.763294185
abroad-alone,SES-ETH,Electricity-consumption|Electrolysis,TWh,annual,2050,0.378957908
abroad-alone,SES-ETH,Electricity-consumption|Exports,TWh,annual,2050,0.0
abroad-alone,SES-ETH,Electricity-consumption|Grid-losses,TWh,annual,2050,5.54082735
abroad-alone,SES-ETH,Electricity-consumption|Heat pumps,TWh,annual,2050,8.04529094
abroad-alone,SES-ETH,Electricity-consumption|New processes,TWh,annual,2050,1.44803583
abroad-alone,SES-ETH,Electricity-consumption|PHS-in,TWh,annual,2050,2.149880883
abroad-alone,SES-ETH,Electricity-consumption|Total,TWh,annual,2050,76.93983145
abroad-alone,SES-ETH,Electricity-consumption|Trains,TWh,annual,2050,3.36355705
abroad-alone,SES-ETH,Electricity-supply|Battery-out,TWh,annual,2050,0.0
abroad-alone,SES-ETH,Electricity-supply|Biogas,TWh,annual,2050,1.107678138
abroad-alone,SES-ETH,Electricity-supply|Gas,TWh,annual,2050,5.13858719
abroad-alone,SES-ETH,Electricity-supply|Geothermal,TWh,annual,2050,0.0
abroad-alone,SES-ETH,Electricity-supply|Hydro Dams,TWh,annual,2050,19.496902
abroad-alone,SES-ETH,Electricity-supply|Hydro RoR,TWh,annual,2050,17.578205
abroad-alone,SES-ETH,Electricity-supply|Hydrogen,TWh,annual,2050,1.3869e-05
abroad-alone,SES-ETH,Electricity-supply|Imports,TWh,annual,2050,0.02164
abroad-alone,SES-ETH,Electricity-supply|Nuclear,TWh,annual,2050,0.0
abroad-alone,SES-ETH,Electricity-supply|PHS-out,TWh,annual,2050,1.741403518
abroad-alone,SES-ETH,Electricity-supply|Solar,TWh,annual,2050,27.2078201
abroad-alone,SES-ETH,Electricity-supply|Total,TWh,annual,2050,76.93983203
abroad-alone,SES-ETH,Electricity-supply|Waste,TWh,annual,2050,2.3183601
abroad-alone,SES-ETH,Electricity-supply|Wind,TWh,annual,2050,2.32922211
abroad-alone,SES-ETH,Electricity-supply|Wood,TWh,annual,2050,0.0
