scenario,model,variable,unit,timeResolution,timestep,value
abroad-alone,Empa,CO2|DAC,MtCO2,annual,2050,8.374370727
abroad-alone,Empa,CO2|Net emissions,MtCO2,annual,2050,0.0
abroad-alone,Empa,CO2|Total captured,MtCO2,annual,2050,10.79980289
abroad-alone,Empa,CO2|Total stored,MtCO2,annual,2050,2.425432168
abroad-alone,Empa,Electricity-consumption|Base,TWh,annual,2050,38.3435348
abroad-alone,Empa,Electricity-consumption|Battery-in,TWh,annual,2050,0.915567985
abroad-alone,Empa,Electricity-consumption|Battery-vehicles,TWh,annual,2050,14.68276168
abroad-alone,Empa,Electricity-consumption|Electric heaters,TWh,annual,2050,4.974669955
abroad-alone,Empa,Electricity-consumption|Exports,TWh,annual,2050,9.078835586
abroad-alone,Empa,Electricity-consumption|Grid-losses,TWh,annual,2050,2.821375812
abroad-alone,Empa,Electricity-consumption|Heat pumps,TWh,annual,2050,7.449122263
abroad-alone,Empa,Electricity-consumption|PHS-in,TWh,annual,2050,3.256665988
abroad-alone,Empa,Electricity-consumption|Total,TWh,annual,2050,85.02253408
abroad-alone,Empa,Electricity-consumption|Trains,TWh,annual,2050,3.5
abroad-alone,Empa,Electricity-supply|Battery-out,TWh,annual,2050,0.882703813
abroad-alone,Empa,Electricity-supply|Gas,TWh,annual,2050,3.492583829
abroad-alone,Empa,Electricity-supply|Geothermal,TWh,annual,2050,2.0
abroad-alone,Empa,Electricity-supply|Hydro Dams,TWh,annual,2050,18.4220499
abroad-alone,Empa,Electricity-supply|Hydro RoR,TWh,annual,2050,16.53877439
abroad-alone,Empa,Electricity-supply|Hydrogen,TWh,annual,2050,9.12016019
abroad-alone,Empa,Electricity-supply|Imports,TWh,annual,2050,10.69496681
abroad-alone,Empa,Electricity-supply|Nuclear,TWh,annual,2050,0.0
abroad-alone,Empa,Electricity-supply|PHS-out,TWh,annual,2050,2.3529009
abroad-alone,Empa,Electricity-supply|Solar,TWh,annual,2050,17.96602706
abroad-alone,Empa,Electricity-supply|Total,TWh,annual,2050,86.70372168
abroad-alone,Empa,Electricity-supply|Waste,TWh,annual,2050,2.32621893
abroad-alone,Empa,Electricity-supply|Wind,TWh,annual,2050,2.907335861
abroad-alone,Empa,Hydrogen-consumption|CHP,TWh,annual,2050,11.2
abroad-alone,Empa,Hydrogen-consumption|Freight,TWh,annual,2050,1.5
abroad-alone,Empa,Hydrogen-consumption|High temperature heat,TWh,annual,2050,2.0
abroad-alone,Empa,Hydrogen-production|Imports,TWh,annual,2050,18.75
abroad-alone,Empa,Hydrogen-production|Total,TWh,annual,2050,18.75
abroad-alone,Empa,Industrial heating|Burner-Gas,TWh,annual,2050,1.409345817
abroad-alone,Empa,Industrial heating|Burner-Hydrogen,TWh,annual,2050,1.806
abroad-alone,Empa,Industrial heating|Burner-Waste,TWh,annual,2050,2.203047
abroad-alone,Empa,Industrial heating|CHP-Gas,TWh,annual,2050,0.00932406
abroad-alone,Empa,Industrial heating|CHP-Waste,TWh,annual,2050,0.195492002
abroad-alone,Empa,Industrial heating|CHP-Wood,TWh,annual,2050,0.0
abroad-alone,Empa,Industrial heating|Electric heater,TWh,annual,2050,7.742540462
abroad-alone,Empa,Industrial heating|Geothermal,TWh,annual,2050,0.385064042
abroad-alone,Empa,Industrial heating|Total,TWh,annual,2050,13.75081338
abroad-alone,Empa,"Space heating, DHW|Boiler-Wood",TWh,annual,2050,14.0888
abroad-alone,Empa,"Space heating, DHW|CHP-Gas",TWh,annual,2050,9.00193844
abroad-alone,Empa,"Space heating, DHW|CHP-Waste",TWh,annual,2050,1.851580657
abroad-alone,Empa,"Space heating, DHW|CHP-Wood",TWh,annual,2050,0.0
abroad-alone,Empa,"Space heating, DHW|Electric heater",TWh,annual,2050,0.17
abroad-alone,Empa,"Space heating, DHW|Geothermal",TWh,annual,2050,5.774935958
abroad-alone,Empa,"Space heating, DHW|Heat pumps",TWh,annual,2050,25.61526505
abroad-alone,Empa,"Space heating, DHW|Total",TWh,annual,2050,56.50252011
abroad-alone,Empa,Transport|Electricity,TWh,annual,2050,14.68276168
abroad-alone,Empa,Transport|Hydrogen,TWh,annual,2050,1.664562473
abroad-alone,Empa,Transport|Oil,TWh,annual,2050,0.930704431
abroad-alone,Empa,Transport|Total,TWh,annual,2050,17.27802859
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 00:00,3.170042355
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 01:00,3.540681566
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 02:00,3.823640807
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 03:00,3.991842002
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 04:00,4.120957966
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 05:00,4.33490795
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 06:00,4.64011055
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 07:00,5.000290503
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 08:00,5.569344226
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 09:00,6.039203916
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 10:00,6.110411183
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 11:00,5.927186553
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 12:00,5.712118433
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 13:00,5.53628346
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 14:00,5.545043703
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 15:00,5.614219675
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 16:00,5.537457101
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 17:00,5.24918855
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 18:00,4.975103754
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 19:00,4.954117362
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 20:00,4.867116782
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 21:00,4.15606897
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 22:00,3.221271059
abroad-alone,Empa,Electricity-consumption|Base,GW,typical-day-summer,2050 23:00,2.913634894
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 00:00,0.0
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 01:00,0.0
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 02:00,0.0
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 03:00,0.0
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 04:00,0.0
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 05:00,0.0
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 06:00,0.037393124
abroad-alone,Empa,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 07:00,0.179663213
