scenario_group,scenario_name,scenario_variant,variable,use_technology_fuel,country,model,unit,time_resolution,timestamp,value,uploaded_by,uploaded_at
cross202506,abroad-res-full,reference,electricity_consumption,elec_appliances,CH,zengarden,TWh,annual,2025,39.4,zengarden,2025-10-15 18:08:26.200884+00:00
cross202506,abroad-res-full,reference,electricity_consumption,elec_appliances,CH,zengarden,TWh,annual,2030,38.9,zengarden,2025-10-15 18:08:26.200884+00:00
cross202506,abroad-res-full,reference,electricity_consumption,elec_appliances,CH,zengarden,TWh,annual,2035,38.3,zengarden,2025-10-15 18:08:26.200884+00:00
cross202506,abroad-res-full,reference,electricity_consumption,elec_appliances,CH,zengarden,TWh,annual,2040,37.7,zengarden,2025-10-15 18:08:26.200884+00:00
cross202506,abroad-res-full,reference,electricity_consumption,elec_appliances,CH,zengarden,TWh,annual,2045,37.2,zengarden,2025-10-15 18:08:26.200884+00:00
cross202506,abroad-res-full,reference,electricity_consumption,elec_appliances,CH,zengarden,TWh,annual,2050,36.6,zengarden,2025-10-15 18:08:26.200884+00:00
cross202506,abroad-res-full,reference,electricity_consumption,battery_in,CH,zengarden,TWh,annual,2025,0.016749822,zengarden,2025-10-15 18:08:26.200884+00:00
cross202506,abroad-res-full,reference,electricity_consumption,battery_in,CH,zengarden,TWh,annual,2030,5.60E-05,zengarden,2025-10-15 18:08:26.200884+00:00
cross202506,abroad-res-full,reference,electricity_consumption,battery_in,CH,zengarden,TWh,annual,2035,2.901941089,zengarden,2025-10-15 18:08:26.200884+00:00
cross202506,abroad-res-full,reference,electricity_consumption,battery_in,CH,zengarden,TWh,annual,2040,12.43563004,zengarden,2025-10-15 18:08:26.200884+00:00
cross202506,abroad-res-full,reference,electricity_consumption,battery_in,CH,zengarden,TWh,annual,2045,13.2837375,zengarden,2025-10-15 18:08:26.200884+00:00
cross202506,abroad-res-full,reference,electricity_consumption,battery_in,CH,zengarden,TWh,annual,2050,16.49973911,zengarden,2025-10-15 18:08:26.200884+00:00
cross202506,abroad-res-full,reference,electricity_consumption,phs_in,CH,zengarden,TWh,annual,2025,7.298024011,zengarden,2025-10-15 18:08:26.200884+00:00
cross202506,abroad-res-full,reference,electricity_consumption,phs_in,CH,zengarden,TWh,annual,2030,13.46418637,zengarden,2025-10-15 18:08:26.200884+00:00
cross202506,abroad-res-full,reference,electricity_consumption,phs_in,CH,zengarden,TWh,annual,2035,14.25815614,zengarden,2025-10-15 18:08:26.200884+00:00
cross202506,abroad-res-full,reference,electricity_consumption,phs_in,CH,zengarden,TWh,annual,2040,15.19658135,zengarden,2025-10-15 18:08:26.200884+00:00
cross202506,abroad-res-full,reference,electricity_consumption,phs_in,CH,zengarden,TWh,annual,2045,13.46036074,zengarden,2025-10-15 18:08:26.200884+00:00
cross202506,abroad-res-full,reference,electricity_consumption,phs_in,CH,zengarden,TWh,annual,2050,12.78647086,zengarden,2025-10-15 18:08:26.200884+00:00
cross202506,abroad-res-full,reference,electricity_consumption,road_private,CH,zengarden,TWh,annual,2025,0.279106128,zengarden,2025-10-15 18:08:26.200884+00:00
cross202506,abroad-res-full,reference,electricity_consumption,road_private,CH,zengarden,TWh,annual,2030,2.569779398,zengarden,2025-10-15 18:08:26.200884+00:00
