scenario,year,index,Annual,wd-00,wd-01,wd-02,wd-03,wd-04,wd-05,wd-06,wd-07,wd-08,wd-09,wd-10,wd-11,wd-12,wd-13,wd-14,wd-15,wd-16,wd-17,wd-18,wd-19,wd-20,wd-21,wd-22,wd-23,sd-00,sd-01,sd-02,sd-03,sd-04,sd-05,sd-06,sd-07,sd-08,sd-09,sd-10,sd-11,sd-12,sd-13,sd-14,sd-15,sd-16,sd-17,sd-18,sd-19,sd-20,sd-21,sd-22,sd-23
abroad-together,2050,Transport|Total,19.60406136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Transport|Hydrogen,3.937826614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Transport|Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Transport|Oil,0.983473065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Transport|Electricity,14.68276168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|Total",59.92450243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|Boiler-Gas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|Boiler-Oil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|Boiler-Wood",2.571318497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|Boiler-Hydrogen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|CHP-Gas",3.772611842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|CHP-Oil",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|CHP-Wood",5.877665968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|CHP-Waste",1.096615408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|CHP-Hydrogen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|Heat pumps",42.43548358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|Electric heater",0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|Solar thermal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|Geothermal",4.000807142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|Total,15.09723411,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|Burner-Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|Burner-Hydrogen,1.016917468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|Burner-Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|Burner-Wood,2.630038375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|Burner-Waste,2.203047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|Burner-Coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|CHP-Gas,1.620635679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|CHP-Hydrogen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|CHP-Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|CHP-Wood,0.090153868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
