scenario_group,scenario_name,scenario_variant,variable,use_technology_fuel,country,model,unit,time_resolution,timestamp,value,uploaded_by,uploaded_at
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,elec_appliances,CH,stem,TWh,annual,2050,37.07232423090958,stem,2026-03-05 11:07:44.135644+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,battery_in,CH,stem,TWh,annual,2050,2.301660356004464,stem,2026-03-05 11:07:44.135644+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,phs_in,CH,stem,TWh,annual,2050,12.646694816640132,stem,2026-03-05 11:07:44.135644+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,road_public,CH,stem,TWh,annual,2050,0.4121904527895795,stem,2026-03-05 11:07:44.135644+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,road_private,CH,stem,TWh,annual,2050,10.746820836595669,stem,2026-03-05 11:07:44.135644+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,truck,CH,stem,TWh,annual,2050,3.625559381776209,stem,2026-03-05 11:07:44.135644+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,ldv,CH,stem,TWh,annual,2050,2.215110490606384,stem,2026-03-05 11:07:44.135644+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,passenger_rail,CH,stem,TWh,annual,2050,3.2605403311707795,stem,2026-03-05 11:07:44.135644+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,freight_rail,CH,stem,TWh,annual,2050,0.6056168637310478,stem,2026-03-05 11:07:44.135644+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,space_heating_boiler_electrode,CH,stem,TWh,annual,2050,0.0,stem,2026-03-05 11:07:44.135644+00:00
nuclear2025,abroad-resnuc-low,wacc_5,electricity_consumption,space_heating_heater_elec,CH,stem,TWh,annual,2050,2.733457328876649,stem,2026-03-05 11:07:44.135644+00:00
