scenario_group,scenario_name,scenario_variant,variable,use_technology_fuel,country,model,unit,time_resolution,timestamp,value,uploaded_by,uploaded_at
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,grid_losses,CH,ses,TWh,annual,2050,0.0,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,battery_in,CH,ses,TWh,annual,2050,0.0004389932921532,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,phs_in,CH,ses,TWh,annual,2050,0.0023794231313426,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,passenger,CH,ses,TWh,annual,2050,14.45490774012034,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,road_public,CH,ses,TWh,annual,2050,3.037862510665785e-05,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,road_private,CH,ses,TWh,annual,2050,14.45487736149524,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,freight_road,CH,ses,TWh,annual,2050,2.126793913637208e-05,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,truck,CH,ses,TWh,annual,2050,2.126793913637208e-05,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,rail,CH,ses,TWh,annual,2050,3.536438500559873,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,passenger_rail,CH,ses,TWh,annual,2050,1.632386726437315,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,freight_rail,CH,ses,TWh,annual,2050,1.904051774122557,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,space_heating,CH,ses,TWh,annual,2050,18.63328533187818,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,space_heating_heater_elec,CH,ses,TWh,annual,2050,2.351282763844724,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,space_heating_heat_pump,CH,ses,TWh,annual,2050,16.28200256803346,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,process_heat,CH,ses,TWh,annual,2050,2.467211168322338,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,fuel_production,CH,ses,TWh,annual,2050,0.0003543910701638,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,electrolysis,CH,ses,TWh,annual,2050,1.138036748684307,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,power_to_liquid,CH,ses,TWh,annual,2050,0.0,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,dac,CH,ses,TWh,annual,2050,0.6434684039725842,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,exports,CH,ses,TWh,annual,2050,0.1092098725694126,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_consumption,elec_appliances,CH,ses,TWh,annual,2050,36.6,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,spv,CH,ses,TWh,annual,2050,0.0146585311730418,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,spv_rooftop,CH,ses,TWh,annual,2050,7.49713297861595e-05,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,spv_mountain,CH,ses,TWh,annual,2050,0.0,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,wind_on,CH,ses,TWh,annual,2050,7.684116396465528e-05,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,wind,CH,ses,TWh,annual,2050,7.684116396465528e-05,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,hydro_dam,CH,ses,TWh,annual,2050,20.01990856272452,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,hydro_ror,CH,ses,TWh,annual,2050,16.37988682102918,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,hydro,CH,ses,TWh,annual,2050,36.3997953837537,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,geothermal_pp,CH,ses,TWh,annual,2050,1.434670448334892e-05,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,nuclear,CH,ses,TWh,annual,2050,0.0002322955041833,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,methane_pp,CH,ses,TWh,annual,2050,0.0006017095807859,ses,2026-03-13 17:39:49.783262+00:00
nuclear2025,abroad-nores-low,wacc_5,electricity_supply,methane_cc,CH,ses,TWh,annual,2050,0.000436196792595,ses,2026-03-13 17:39:49.783262+00:00
