scenario_group,scenario_name,scenario_variant,variable,use_technology_fuel,country,model,unit,time_resolution,timestamp,value,uploaded_by,uploaded_at
nuclear2025,abroad-nores-high,wacc_5,electricity_consumption,battery_in,CH,nexuse,TWh,annual,2050,0.0807444625088032,nexuse,2026-02-18 13:30:18.411950+00:00
nuclear2025,abroad-nores-high,wacc_5,electricity_consumption,elec_appliances,CH,nexuse,TWh,annual,2050,48.1712418,nexuse,2026-02-18 13:30:18.411950+00:00
nuclear2025,abroad-nores-high,wacc_5,electricity_consumption,electrolysis,CH,nexuse,TWh,annual,2050,2.9349504,nexuse,2026-02-18 13:30:18.411950+00:00
nuclear2025,abroad-nores-high,wacc_5,electricity_consumption,exports,CH,nexuse,TWh,annual,2050,36.43039337129724,nexuse,2026-02-18 13:30:18.411950+00:00
nuclear2025,abroad-nores-high,wacc_5,electricity_consumption,ldv,CH,nexuse,TWh,annual,2050,13.144976181,nexuse,2026-02-18 13:30:18.411950+00:00
nuclear2025,abroad-nores-high,wacc_5,electricity_consumption,phs_in,CH,nexuse,TWh,annual,2050,1.021596810254307,nexuse,2026-02-18 13:30:18.411950+00:00
nuclear2025,abroad-nores-high,wacc_5,electricity_consumption,space_heating_heat_pump,CH,nexuse,TWh,annual,2050,11.731865688,nexuse,2026-02-18 13:30:18.411950+00:00
nuclear2025,abroad-nores-high,wacc_5,electricity_supply,battery_out,CH,nexuse,TWh,annual,2050,0.0719563403182781,nexuse,2026-02-18 13:30:18.411950+00:00
nuclear2025,abroad-nores-high,wacc_5,electricity_supply,fuel_cell_h2,CH,nexuse,TWh,annual,2050,0.005804635442564,nexuse,2026-02-18 13:30:18.411950+00:00
nuclear2025,abroad-nores-high,wacc_5,electricity_supply,hydro_dam,CH,nexuse,TWh,annual,2050,17.98146458893266,nexuse,2026-02-18 13:30:18.411950+00:00
nuclear2025,abroad-nores-high,wacc_5,electricity_supply,hydro_ror,CH,nexuse,TWh,annual,2050,19.50016841986742,nexuse,2026-02-18 13:30:18.411950+00:00
nuclear2025,abroad-nores-high,wacc_5,electricity_supply,imports,CH,nexuse,TWh,annual,2050,54.83008190353956,nexuse,2026-02-18 13:30:18.411950+00:00
nuclear2025,abroad-nores-high,wacc_5,electricity_supply,methane_cc_woccs,CH,nexuse,TWh,annual,2050,0.0023627798578045,nexuse,2026-02-18 13:30:18.411950+00:00
nuclear2025,abroad-nores-high,wacc_5,electricity_supply,phs_out,CH,nexuse,TWh,annual,2050,5.071204701304431,nexuse,2026-02-18 13:30:18.411950+00:00
nuclear2025,abroad-nores-high,wacc_5,electricity_supply,spv_rooftop,CH,nexuse,TWh,annual,2050,1.077274042663925,nexuse,2026-02-18 13:30:18.411950+00:00
nuclear2025,abroad-nores-high,wacc_5,electricity_supply,waste_chp_woccs,CH,nexuse,TWh,annual,2050,0.8768734437920125,nexuse,2026-02-18 13:30:18.411950+00:00
nuclear2025,abroad-nores-high,wacc_5,electricity_supply,wind,CH,nexuse,TWh,annual,2050,2.953673173642297,nexuse,2026-02-18 13:30:18.411950+00:00
