scenario,model,variable,unit,timeResolution,timestep,value
abroad-together,Calliope,Biofuel-processes|New processes,TWh,annual,2050,0.008557036
abroad-together,Calliope,Biofuel-production|Production,TWh,annual,2050,17.13964189
abroad-together,Calliope,Biogas-production|Production,TWh,annual,2050,12.25599973
abroad-together,Calliope,CO2-balance|Net emissions,TWh,annual,2050,-3.666597868
abroad-together,Calliope,CO2-balance|Total,TWh,annual,2050,3.666597513
abroad-together,Calliope,CO2-capture|CCS,TWh,annual,2050,3.666555261
abroad-together,Calliope,CO2-consumption|Export,TWh,annual,2050,1.15E-05
abroad-together,Calliope,CO2-consumption|Utilization,TWh,annual,2050,1.575473968
abroad-together,Calliope,Coal-consumption|Electricity generation,TWh,annual,2050,0.000141826
abroad-together,Calliope,Coal-production|Fossil production,TWh,annual,2050,0.000141826
abroad-together,Calliope,Electricity-consumption|Base,TWh,annual,2050,50.98170995
abroad-together,Calliope,Electricity-consumption|Battery-in,TWh,annual,2050,0.025762406
abroad-together,Calliope,Electricity-consumption|Battery-vehicles,TWh,annual,2050,26.55048304
abroad-together,Calliope,Electricity-consumption|Electric heaters,TWh,annual,2050,0.031728358
abroad-together,Calliope,Electricity-consumption|Electrolysis,TWh,annual,2050,0.013751154
abroad-together,Calliope,Electricity-consumption|Exports,TWh,annual,2050,21.34802125
abroad-together,Calliope,Electricity-consumption|Flexibility-in,TWh,annual,2050,2.10458642
abroad-together,Calliope,Electricity-consumption|Grid-losses,TWh,annual,2050,0.886632488
abroad-together,Calliope,Electricity-consumption|Heat pumps,TWh,annual,2050,16.56723331
abroad-together,Calliope,Electricity-consumption|New processes,TWh,annual,2050,0.024549528
abroad-together,Calliope,Electricity-consumption|PHS-in,TWh,annual,2050,7.935908775
abroad-together,Calliope,Electricity-consumption|Syn-fuel production,TWh,annual,2050,0.000794918
abroad-together,Calliope,Electricity-consumption|Total,TWh,annual,2050,127.7710378
abroad-together,Calliope,Electricity-consumption|Trains,TWh,annual,2050,3.04522844
abroad-together,Calliope,Electricity-supply|Battery-out,TWh,annual,2050,0.022152714
abroad-together,Calliope,Electricity-supply|Biogas,TWh,annual,2050,0.106103454
abroad-together,Calliope,Electricity-supply|Coal,TWh,annual,2050,5.22E-05
abroad-together,Calliope,Electricity-supply|Flexibility-out,TWh,annual,2050,1.245866713
abroad-together,Calliope,Electricity-supply|Gas,TWh,annual,2050,0.016247786
abroad-together,Calliope,Electricity-supply|Hydro Dams,TWh,annual,2050,22.12588819
abroad-together,Calliope,Electricity-supply|Hydro RoR,TWh,annual,2050,16.08094732
abroad-together,Calliope,Electricity-supply|Hydrogen,TWh,annual,2050,0.018739966
abroad-together,Calliope,Electricity-supply|Imports,TWh,annual,2050,59.24960907
abroad-together,Calliope,Electricity-supply|New processes,TWh,annual,2050,6.20E-05
abroad-together,Calliope,Electricity-supply|PHS-out,TWh,annual,2050,6.190344059
abroad-together,Calliope,Electricity-supply|Solar,TWh,annual,2050,14.19436339
abroad-together,Calliope,Electricity-supply|Total,TWh,annual,2050,128.6576703
abroad-together,Calliope,Electricity-supply|Waste,TWh,annual,2050,2.405280584
abroad-together,Calliope,Electricity-supply|Wind,TWh,annual,2050,0.005815439
abroad-together,Calliope,Electricity-supply|Wood,TWh,annual,2050,6.99619747
abroad-together,Calliope,Hydrogen-consumption|CHP,TWh,annual,2050,0.037479931
abroad-together,Calliope,Hydrogen-consumption|Exports,TWh,annual,2050,0.059057809
abroad-together,Calliope,Hydrogen-consumption|Fuel synthesis,TWh,annual,2050,9.623994451
abroad-together,Calliope,Hydrogen-consumption|H2 industry demand,TWh,annual,2050,1.394007339
abroad-together,Calliope,Hydrogen-consumption|H2 storage-in,TWh,annual,2050,0.003708819
abroad-together,Calliope,Hydrogen-consumption|H2 underground storage-in,TWh,annual,2050,0.011520464
abroad-together,Calliope,Hydrogen-production|Electrolysis,TWh,annual,2050,0.009864161
abroad-together,Calliope,Hydrogen-production|H2 storage-Out,TWh,annual,2050,0.002433361
abroad-together,Calliope,Hydrogen-production|H2 underground storage-Out,TWh,annual,2050,0.011520464
abroad-together,Calliope,Hydrogen-production|Imports,TWh,annual,2050,11.11109669
abroad-together,Calliope,Hydrogen-production|Total,TWh,annual,2050,11.13248132
abroad-together,Calliope,Other demands|Cooking,TWh,annual,2050,1.64147986
abroad-together,Calliope,Other demands|Heat,TWh,annual,2050,57.04126643
abroad-together,Calliope,"Space heating, DHW|Big storage-in",TWh,annual,2050,12.46627827
abroad-together,Calliope,"Space heating, DHW|Big storage-out",TWh,annual,2050,12.43496294
abroad-together,Calliope,"Space heating, DHW|Boiler-Gas",TWh,annual,2050,0.014759207
abroad-together,Calliope,"Space heating, DHW|Boiler-Wood",TWh,annual,2050,0.038783379
abroad-together,Calliope,"Space heating, DHW|CHP-Gas",TWh,annual,2050,0.199489469
abroad-together,Calliope,"Space heating, DHW|CHP-Hydrogen",TWh,annual,2050,0.014096697
abroad-together,Calliope,"Space heating, DHW|CHP-Waste",TWh,annual,2050,3.309356966
abroad-together,Calliope,"Space heating, DHW|CHP-Wood",TWh,annual,2050,15.19813423
abroad-together,Calliope,"Space heating, DHW|Electric heater",TWh,annual,2050,0.031728358
abroad-together,Calliope,"Space heating, DHW|Flexibility-in",TWh,annual,2050,0.007376652
abroad-together,Calliope,"Space heating, DHW|Flexibility-out",TWh,annual,2050,0.002051657
abroad-together,Calliope,"Space heating, DHW|Heat pumps",TWh,annual,2050,40.71131995
abroad-together,Calliope,"Space heating, DHW|Small storage-in",TWh,annual,2050,92.64564655
abroad-together,Calliope,"Space heating, DHW|Small storage-out",TWh,annual,2050,92.54309605
abroad-together,Calliope,"Space heating, DHW|Total",TWh,annual,2050,269.6170804
abroad-together,Calliope,Syn-diesel-consumption|Industry,TWh,annual,2050,0.308889446
abroad-together,Calliope,Syn-diesel-production|Biodiesel,TWh,annual,2050,0.005836147
abroad-together,Calliope,Syn-diesel-production|Fischer-Tropsch,TWh,annual,2050,0.047219297
abroad-together,Calliope,Syn-diesel-production|Fossil Production,TWh,annual,2050,4.78E-05
abroad-together,Calliope,Syn-diesel-production|Imports,TWh,annual,2050,0.258743847
abroad-together,Calliope,Syn-kerosene-consumption|Exports,TWh,annual,2050,0.071125366
abroad-together,Calliope,Syn-kerosene-consumption|Industry,TWh,annual,2050,22.29724531
abroad-together,Calliope,Syn-kerosene-production|Biokerosene,TWh,annual,2050,0.000305164
abroad-together,Calliope,Syn-kerosene-production|Fischer-Tropsch,TWh,annual,2050,0.070828946
abroad-together,Calliope,Syn-kerosene-production|Fossil Production,TWh,annual,2050,5.29E-09
abroad-together,Calliope,Syn-kerosene-production|Imports,TWh,annual,2050,22.29723656
abroad-together,Calliope,Syn-methane-consumption|Base,TWh,annual,2050,0.003902737
abroad-together,Calliope,Syn-methane-consumption|Exports,TWh,annual,2050,25.72383932
abroad-together,Calliope,Syn-methane-consumption|Industry,TWh,annual,2050,6.052434113
abroad-together,Calliope,Syn-methane-consumption|Methane storage-in,TWh,annual,2050,0.000976271
abroad-together,Calliope,Syn-methane-production|Biomethane,TWh,annual,2050,11.63686486
abroad-together,Calliope,Syn-methane-production|Fischer-Tropsch,TWh,annual,2050,7.709245263
abroad-together,Calliope,Syn-methane-production|Fossil Production,TWh,annual,2050,6.25E-05
abroad-together,Calliope,Syn-methane-production|Imports,TWh,annual,2050,12.47728774
abroad-together,Calliope,Syn-methane-production|Methane storage-Out,TWh,annual,2050,0.000976271
abroad-together,Calliope,Syn-methanol-consumption|Exports,TWh,annual,2050,0.121318527
abroad-together,Calliope,Syn-methanol-consumption|Industry,TWh,annual,2050,4.607407515
abroad-together,Calliope,Syn-methanol-production|Biomethanol,TWh,annual,2050,0.005562073
abroad-together,Calliope,Syn-methanol-production|Fossil Production,TWh,annual,2050,5.48E-09
abroad-together,Calliope,Syn-methanol-production|H2,TWh,annual,2050,0.115770355
abroad-together,Calliope,Syn-methanol-production|Imports,TWh,annual,2050,4.607393608
abroad-together,Calliope,Transport|Diesel,TWh,annual,2050,0.002957625
abroad-together,Calliope,Transport|Electricity,TWh,annual,2050,26.55048304
abroad-together,Calliope,Transport|Hydrogen,TWh,annual,2050,0.005145969
abroad-together,Calliope,Transport|Total,TWh,annual,2050,26.55858663
abroad-together,Calliope,Waste-production|Production,TWh,annual,2050,13
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 00:00,4.472666574
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 01:00,4.651247845
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 02:00,4.522712291
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 03:00,4.283169187
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 04:00,4.151375024
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 05:00,3.901752913
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 06:00,3.676400637
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 07:00,3.904176095
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 08:00,4.066498388
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 09:00,3.498297584
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 10:00,2.690167908
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 11:00,4.201867493
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 12:00,5.216966142
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 13:00,5.22159883
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 14:00,5.316839567
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 15:00,4.978609305
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 16:00,3.699712695
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 17:00,3.750282738
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 18:00,4.333933374
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 19:00,4.548683715
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 20:00,4.576168481
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 21:00,4.649341887
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 22:00,4.59115873
abroad-together,Calliope,Electricity-consumption|Base,GW,typical-day-summer,2050 23:00,4.396417033
abroad-together,Calliope,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 00:00,0.001921594
abroad-together,Calliope,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 01:00,0.001887751
abroad-together,Calliope,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 02:00,0.001833514
abroad-together,Calliope,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 03:00,0.00175472
abroad-together,Calliope,Electricity-consumption|Battery-in,GW,typical-day-summer,2050 04:00,0.001631836
