scenario,model,variable,unit,timeResolution,timestep,value
abroad-together,"EP2050+
Zero Basis",Electricity-consumption|Base,TWh,annual,2050,35.39925317
abroad-together,"EP2050+
Zero Basis",Electricity-consumption|Battery-in,TWh,annual,2050,0.0
abroad-together,"EP2050+
Zero Basis",Electricity-consumption|Battery-vehicles,TWh,annual,2050,13.14497843
abroad-together,"EP2050+
Zero Basis",Electricity-consumption|Electric heaters,TWh,annual,2050,2.727664146
abroad-together,"EP2050+
Zero Basis",Electricity-consumption|Electrolysis,TWh,annual,2050,2.938216239
abroad-together,"EP2050+
Zero Basis",Electricity-consumption|Exports,TWh,annual,2050,0.363933999
abroad-together,"EP2050+
Zero Basis",Electricity-consumption|Grid-losses,TWh,annual,2050,5.31453193
abroad-together,"EP2050+
Zero Basis",Electricity-consumption|Heat pumps,TWh,annual,2050,11.73186561
abroad-together,"EP2050+
Zero Basis",Electricity-consumption|New processes,TWh,annual,2050,1.762665105
abroad-together,"EP2050+
Zero Basis",Electricity-consumption|PHS-in,TWh,annual,2050,8.4605053
abroad-together,"EP2050+
Zero Basis",Electricity-consumption|Total,TWh,annual,2050,84.81093838
abroad-together,"EP2050+
Zero Basis",Electricity-consumption|Trains,TWh,annual,2050,2.967324449
abroad-together,"EP2050+
Zero Basis",Electricity-supply|Battery-out,TWh,annual,2050,0.0
abroad-together,"EP2050+
Zero Basis",Electricity-supply|Biogas,TWh,annual,2050,1.150922429
abroad-together,"EP2050+
Zero Basis",Electricity-supply|Gas,TWh,annual,2050,0.0
abroad-together,"EP2050+
Zero Basis",Electricity-supply|Geothermal,TWh,annual,2050,2.0
abroad-together,"EP2050+
Zero Basis",Electricity-supply|Hydro Dams,TWh,annual,2050,19.0242
abroad-together,"EP2050+
Zero Basis",Electricity-supply|Hydro RoR,TWh,annual,2050,18.54818657
abroad-together,"EP2050+
Zero Basis",Electricity-supply|Hydrogen,TWh,annual,2050,0.0
abroad-together,"EP2050+
Zero Basis",Electricity-supply|Imports,TWh,annual,2050,0.0
abroad-together,"EP2050+
Zero Basis",Electricity-supply|Nuclear,TWh,annual,2050,0.0
abroad-together,"EP2050+
Zero Basis",Electricity-supply|Oil,TWh,annual,2050,0.0
abroad-together,"EP2050+
Zero Basis",Electricity-supply|PHS-out,TWh,annual,2050,6.208
abroad-together,"EP2050+
Zero Basis",Electricity-supply|SPV-battery,TWh,annual,2050,0.0
abroad-together,"EP2050+
Zero Basis",Electricity-supply|Solar,TWh,annual,2050,30.65977434
abroad-together,"EP2050+
Zero Basis",Electricity-supply|Total,TWh,annual,2050,83.79813838
abroad-together,"EP2050+
Zero Basis",Electricity-supply|Waste,TWh,annual,2050,1.720084134
