scenario,year,index,Annual,wd-00,wd-01,wd-02,wd-03,wd-04,wd-05,wd-06,wd-07,wd-08,wd-09,wd-10,wd-11,wd-12,wd-13,wd-14,wd-15,wd-16,wd-17,wd-18,wd-19,wd-20,wd-21,wd-22,wd-23,sd-00,sd-01,sd-02,sd-03,sd-04,sd-05,sd-06,sd-07,sd-08,sd-09,sd-10,sd-11,sd-12,sd-13,sd-14,sd-15,sd-16,sd-17,sd-18,sd-19,sd-20,sd-21,sd-22,sd-23
abroad-alone,2050,Electricity-consumption|Total demand,76,9.786474431,9.491244789,9.140871107,8.334812564,7.580812383,7.117562634,7.224366884,7.592956016,7.678956829,7.661438145,8.168982293,8.379405578,8.576092622,8.342974678,8.019277174,8.295196449,8.712857803,9.158489329,9.047902636,8.676625979,8.720522227,10.06438446,9.945834733,9.838632331,8.038089852,7.671690556,7.07595576,6.926250641,6.875088121,7.595842617,8.284545885,8.568328659,8.8321043,9.122755195,8.738638139,9.138382658,9.223189015,8.876697314,8.29808305,8.002156642,7.836923599,7.70055657,7.586585585,7.703940861,7.779390648,8.49646224,8.491883493,8.387269078
abroad-alone,2050,Electricity-consumption|Battery-In,1.086090559,0.695641688,0.698219383,0.698178206,0.934855341,1.089626527,1.105541867,1.098725252,0.713988091,0.917924535,1.127063454,0.803866785,1.041646374,0.741362047,0.020587139,0.001026371,0.001685418,0.001103213,0,0,0,0,0.0000691,0.000224289,0.000349893,0,0,0,0,0,0,0,0.010587419,0.083465056,0.13344114,0.123078547,0.133497514,0.092354125,0.074331011,0.070106769,0.000849331,0,0,0,0,0,0,0,0
abroad-alone,2050,Electricity-consumption|Electrolysis,0.009903261,0.004241003,0.004656231,0.004718766,0.005054399,0.005185206,0.005278508,0.005257103,0.005002883,0.005332643,0.005389787,0.005266032,0.005295214,0.005243694,0.005017197,0.003066199,0.001266878,0.001258435,0.000731207,0.000713931,0.000752555,0.000728659,0.000698744,0.000707493,0.000707749,0.0000892,0.0000929,0.0000937,0.0000978,0.000045,0.0000352,0.0000788,0.000480193,0.00063698,0.000618646,0.000585527,0.000645484,0.000620923,0.000517926,0.000517949,0.000116503,0.0000217,0.0000482,0.0000676,0.000105553,0.000092,0.0000915,0.0000906,0.0000893
abroad-alone,2050,Electricity-consumption|Exports,30.24451099,1.30306519,1.308502916,1.309611482,1.324930902,1.429410772,1.730937758,1.790351334,1.984364878,2.026910231,2.07653935,2.066517832,2.128314087,1.478804795,1.285632301,1.23472458,2.387139254,2.163029195,2.364894138,2.347305039,2.371934404,2.33551393,1.884046351,1.90109928,1.875803387,6.58368028,6.636773529,6.632806983,6.640703025,6.599901885,6.576222246,5.357717661,5.046552469,5.055306284,5.071439719,5.106633096,5.070353165,5.074487033,5.08108992,5.075195873,6.689477826,6.899264234,6.860214413,6.852100875,6.852380031,6.858685187,6.862554325,6.864705461,6.881129642
abroad-alone,2050,Electricity-consumption|PHS-In,5.11089549,2.075462054,2.075601161,2.075614038,2.075694252,2.075726251,2.075744175,2.075742108,2.075684267,2.075718192,2.075738508,2.07570446,2.075713356,2.075699498,2.075640329,2.074600586,1.556448192,0.865171798,0.352494084,0.336321013,0.352617322,0.352614734,0.095041652,0.095364626,0.094905087,0.00060526,0.001056049,0.001122857,0.001754511,0.001726807,0.002300127,0.00187236,1.054530515,1.592240078,1.609219593,1.88686236,1.71667786,1.570698364,1.523788037,1.4601489,0.006580403,0.050746682,0.052141226,0.052513093,0.052354772,0.05218402,0.052389259,0.051638576,0.052968259
abroad-alone,2050,Electricity-consumption|Total,112.4514003,13.86488437,13.57822448,13.2289936,12.67534746,12.18076114,12.03506494,12.19444268,12.37199613,12.70484243,12.94616924,13.1203374,13.63037461,12.87720266,11.72985164,11.33269491,12.24173619,11.74342044,11.87660876,11.73224262,11.40193026,11.40937955,12.04424036,11.94323042,11.81039845,14.6224646,14.30961303,13.70997929,13.56880602,13.47676177,14.17440015,13.6442147,14.68047925,15.5637527,15.93747429,15.85579767,16.05955668,15.96134946,15.55642421,14.90405254,14.69918071,14.78695624,14.61296043,14.49126719,14.60878122,14.69035187,15.41149732,15.4083181,15.32145632
abroad-alone,2050,Electricity-supply|Battery-out,0.155636555,0.084395109,0.002874774,0.003631603,0.0000552,0.00000788,0,0,0.000218135,0.002126847,0,0.001550364,0,0,0.00000889,0.000489337,0.00263814,0.000662869,0.004773571,0.003223323,0.001765931,0.001609968,0.002354261,0.001843979,0.001571225,0.127437323,0.096311513,0.02683905,0.005930771,0.007397791,0.007251735,0.003702561,0.002003005,0.00012786,0.0000964,0.00017331,0.0000602,0.000155702,0.000303414,0.000183003,0.001732723,0.0538704,0.056487516,0.056813096,0.053502959,0.05066525,0.05418577,0.04786317,0.005459523
abroad-alone,2050,Electricity-supply|Biogas,2.880367684,0.341832646,0.335778087,0.334124496,0.312785467,0.307905014,0.303118428,0.304627511,0.313551722,0.280049512,0.238618013,0.277302547,0.259491971,0.271471525,0.312133118,0.346304286,0.371328362,0.37310801,0.381092725,0.381401943,0.380938218,0.381166176,0.382263912,0.382229051,0.38230722,0.331810413,0.319626165,0.318021593,0.311742277,0.314872648,0.308612723,0.276551433,0.236208225,0.225116873,0.224472549,0.224626732,0.224262043,0.225786283,0.230316649,0.229842151,0.259430292,0.321631879,0.321887981,0.319202522,0.320514812,0.320045686,0.321182531,0.318579685,0.318378814
abroad-alone,2050,Electricity-supply|Gas,1.86070681,0.081163229,0.080278033,0.080160428,0.079293452,0.078775728,0.078175408,0.078366044,0.07932068,0.075040636,0.063809572,0.074788971,0.067836654,0.069773398,0.079586272,0.09173126,0.279526195,0.280259933,0.283549663,0.283673992,0.283517813,0.283616248,0.283988752,0.283979363,0.28400405,0.272616142,0.270169407,0.26987483,0.268261101,0.268730951,0.266743094,0.247679838,0.130274741,0.063985092,0.063509069,0.063554947,0.063443012,0.063853301,0.066498113,0.065923662,0.095410477,0.266781769,0.267534847,0.266877407,0.267382347,0.267288016,0.267501978,0.266173001,0.181082858
abroad-alone,2050,Electricity-supply|Hydro Dams,22.4973305,0.000595212,0.000556816,0.000557125,0.000523191,0.000496832,0.000465298,0.000455818,0.000512878,0.0004584,0.000443951,0.000464,0.000472539,0.000480649,0.000520989,0.000601459,0.000814572,0.000801994,0.458040286,0.560118322,0.469852723,0.633535681,1.230555238,1.200200366,1.186235974,5.085357505,4.932521603,4.609278658,4.784937026,4.565791936,4.587151467,3.238078035,0.644748191,0.603446021,0.588930085,0.571005226,0.590464059,0.603675838,0.655238453,0.611709208,2.046496279,5.275348142,5.481592949,5.516591776,5.40739266,5.233420793,5.212037145,5.072142433,4.769085102
