scenario,year,index,Annual,wd-00,wd-01,wd-02,wd-03,wd-04,wd-05,wd-06,wd-07,wd-08,wd-09,wd-10,wd-11,wd-12,wd-13,wd-14,wd-15,wd-16,wd-17,wd-18,wd-19,wd-20,wd-21,wd-22,wd-23,sd-00,sd-01,sd-02,sd-03,sd-04,sd-05,sd-06,sd-07,sd-08,sd-09,sd-10,sd-11,sd-12,sd-13,sd-14,sd-15,sd-16,sd-17,sd-18,sd-19,sd-20,sd-21,sd-22,sd-23
abroad-together,2050,Transport|Total,36.01671685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Transport|Hydrogen,4.297278511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Transport|Gas,2.397414591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Transport|Oil,12.44775762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Transport|Electricity,16.87426613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|Total",55.67548418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|Boiler-Gas",4.642361438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|Boiler-Oil",0.780288356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|Boiler-Wood",3.065277464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|CHP-Gas",0.89629521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|CHP-Hydrogen",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|CHP-Oil",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|CHP-Wood",0.584085309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|CHP-Waste",1.708735538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|Heat pumps",38.53204464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|Electric heater",2.331049754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|Solar thermal",1.62216594,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,"Space heating, DHW|Geothermal",1.622527182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|Burner-Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|Burner-Hydrogen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|Burner-Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|Burner-Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|Burner-Waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|Burner-Coal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|CHP-Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|CHP-Hydrogen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|CHP-Oil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|CHP-Wood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|CHP-Waste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|Electric heater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|Solar thermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Industrial heating|Geothermal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Electricity-supply|Total,138.4778407,16.333521,14.153665,13.738968,13.602002,13.579622,13.859295,15.323043,20.091229,17.533784,18.53783,19.066186,20.399353,20.689119,21.331533,20.756329,23.010121,21.753471,19.698746,18.416356,18.200185,17.610866,16.77542,16.244334,16.293694,13.685655,14.274091,15.892039,15.664061,15.869066,16.217424,15.76258,18.108536,18.95501,23.551247,25.874155,26.511817,27.079646,27.291517,24.273112,22.888644,21.988385,18.8298,19.058059,18.51389,17.011917,16.486004,16.097735,14.908562
abroad-together,2050,Electricity-supply|Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abroad-together,2050,Electricity-supply|Biogas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abroad-together,2050,Electricity-supply|Hydrogen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abroad-together,2050,Electricity-supply|Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abroad-together,2050,Electricity-supply|Wood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abroad-together,2050,Electricity-supply|Waste,1.480592987,0.228493,0.228488,0.228488,0.228488,0.228488,0.228488,0.228491,0.228494,0.228493,0.228493,0.228489,0.227005,0.225518,0.225509,0.226996,0.228493,0.228494,0.228494,0.228493,0.228489,0.228489,0.228489,0.22845,0.22696,0.209387,0.212786,0.212789,0.212682,0.202289,0.183224,0.114055,0.0542708,0.00635261,0.00330371,0.00133073,0.00132993,0.00132984,0.0015328,0.00829576,0.0571755,0.117087,0.181497,0.202419,0.21277,0.212789,0.212789,0.212789,0.212789
abroad-together,2050,Electricity-supply|Nuclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abroad-together,2050,Electricity-supply|Hydro Dams,18.07920175,7.326924,6.31106,6.307886,6.292904,6.286475,6.31868,6.997488,8.014991,7.58192,5.184556,4.841215,4.72552,4.918314,4.898388,4.985051,7.875612,8.067643,7.933176,7.45655,7.046056,6.926174,6.784131,6.756859,6.514322,3.44137,4.077331,4.815377,4.815397,4.815563,4.474837,0.778636,0.0380579,0.0380569,0.038063,0.398036,0.398037,0.398037,0.398037,0.0380612,0.398038,0.688034,1.582689,3.203731,4.810416,4.803807,4.49859,4.715838,4.471089
abroad-together,2050,Electricity-supply|Hydro RoR,16.34978109,1.834499,1.834499,1.834499,1.834499,1.834499,1.834499,1.834499,1.834499,1.834499,1.834499,1.834499,1.834499,1.834499,1.834499,1.834498,1.834499,1.834499,1.834499,1.834499,1.834499,1.834499,1.834499,1.834499,1.834499,2.985275,2.985275,2.985275,2.985275,2.985275,2.985275,2.985236,0.506212,0.386965,0.33468,0.148295,0.148304,0.148242,0.148294,0.263036,0.386915,2.973236,2.985273,2.985275,2.985275,2.985275,2.985275,2.985275,2.985275
