scenario,year,index,Annual,wd-00,wd-01,wd-02,wd-03,wd-04,wd-05,wd-06,wd-07,wd-08,wd-09,wd-10,wd-11,wd-12,wd-13,wd-14,wd-15,wd-16,wd-17,wd-18,wd-19,wd-20,wd-21,wd-22,wd-23,sd-00,sd-01,sd-02,sd-03,sd-04,sd-05,sd-06,sd-07,sd-08,sd-09,sd-10,sd-11,sd-12,sd-13,sd-14,sd-15,sd-16,sd-17,sd-18,sd-19,sd-20,sd-21,sd-22,sd-23
domestic-together,2050,Transport|Total,30.59024795,1.274282692,1.202095389,1.178032955,1.442720141,1.923968825,3.078965258,4.883643728,4.402390947,4.161774797,4.522719503,5.003951802,5.388962219,5.003951802,5.052083225,5.533336005,5.725841214,5.725841214,4.522719503,3.560213942,2.958653087,2.357092231,1.923968825,1.635219205,1.346469994,1.274282692,1.202095389,1.178032955,1.442720141,1.923968825,3.078965258,4.883643728,4.402390947,4.161774797,4.522719503,5.003951802,5.388962219,5.003951802,5.052083225,5.533336005,5.725841214,5.725841214,4.522719503,3.560213942,2.958653087,2.357092231,1.923968825,1.635219205,1.346469994
domestic-together,2050,Transport|Hydrogen,9.160779846,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124,1.045751124
domestic-together,2050,Transport|Gas,1.866566894,0.010964582,0.004385833,0.002192916,0.026315034,0.070173362,0.175433312,0.339901669,0.296042967,0.27411455,0.307009043,0.350865877,0.385953585,0.350865877,0.355252307,0.399111009,0.416654863,0.416654863,0.307009043,0.21929164,0.16446873,0.10964582,0.070173362,0.043858328,0.017543331,0.010964582,0.004385833,0.002192916,0.026315034,0.070173362,0.175433312,0.339901669,0.296042967,0.27411455,0.307009043,0.350865877,0.385953585,0.350865877,0.355252307,0.399111009,0.416654863,0.416654863,0.307009043,0.21929164,0.16446873,0.10964582,0.070173362,0.043858328,0.017543331
domestic-together,2050,Transport|Oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
domestic-together,2050,Transport|Electricity,19.56290121,0.217566986,0.151958432,0.130088914,0.370653983,0.808044339,1.857780822,3.497990935,3.060596856,2.841909123,3.169959337,3.607334801,3.95725751,3.607334801,3.651079793,4.088473873,4.263435227,4.263435227,3.169959337,2.295171178,1.748433233,1.201695287,0.808044339,0.545609753,0.283175539,0.217566986,0.151958432,0.130088914,0.370653983,0.808044339,1.857780822,3.497990935,3.060596856,2.841909123,3.169959337,3.607334801,3.95725751,3.607334801,3.651079793,4.088473873,4.263435227,4.263435227,3.169959337,2.295171178,1.748433233,1.201695287,0.808044339,0.545609753,0.283175539
domestic-together,2050,"Space heating, DHW|Total",64.09795888,9.055314898,11.27377768,16.30822499,16.30822499,16.30822499,16.30822499,16.30822499,15.0473366,14.36468313,13.57233961,12.69513751,15.25217048,16.30822499,16.30822499,16.30822499,16.30822499,16.30822499,16.30822499,16.30822499,16.30822499,16.30822499,16.30822499,16.30822499,16.30822499,3.757451515,3.757451515,3.757451515,3.757451515,6.042677529,11.31784199,9.948962432,10.25943159,13.18063909,16.32667456,15.09713683,16.0112453,13.22269704,16.17113898,16.31314937,12.31351875,5.70895615,3.760180107,3.760180107,3.760180107,3.760180107,14.82129846,16.31314937,16.31314937
domestic-together,2050,"Space heating, DHW|Boiler-Gas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
domestic-together,2050,"Space heating, DHW|Boiler-Oil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
domestic-together,2050,"Space heating, DHW|Boiler-Wood",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
domestic-together,2050,"Space heating, DHW|Boiler-Hydrogen",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
