scenario,model,variable,unit,timeResolution,timestep,value
abroad-alone,STEM,CO2|DAC,MtCO2,annual,2050,0.089832405
abroad-alone,STEM,CO2|Net emissions,MtCO2,annual,2050,5.56e-07
abroad-alone,STEM,CO2|Total captured,MtCO2,annual,2050,10.67341368
abroad-alone,STEM,CO2|Total stored,MtCO2,annual,2050,9.431301438
abroad-alone,STEM,CO2|Total utilised in fuel synthesis,MtCO2,annual,2050,1.241932814
abroad-alone,STEM,Electricity-consumption|Base,TWh,annual,2050,35.40468923
abroad-alone,STEM,Electricity-consumption|Battery-in,TWh,annual,2050,1.620485693
abroad-alone,STEM,Electricity-consumption|Battery-vehicles,TWh,annual,2050,10.6568976
abroad-alone,STEM,Electricity-consumption|Electric heaters,TWh,annual,2050,6.159428194
abroad-alone,STEM,Electricity-consumption|Electrolysis,TWh,annual,2050,15.39076051
abroad-alone,STEM,Electricity-consumption|Exports,TWh,annual,2050,1.094487915
abroad-alone,STEM,Electricity-consumption|Grid-losses,TWh,annual,2050,3.523565775
abroad-alone,STEM,Electricity-consumption|Heat pumps,TWh,annual,2050,13.65941243
abroad-alone,STEM,Electricity-consumption|New processes,TWh,annual,2050,0.081959264
abroad-alone,STEM,Electricity-consumption|PHS-in,TWh,annual,2050,4.642603907
abroad-alone,STEM,Electricity-consumption|Total,TWh,annual,2050,95.40616765
abroad-alone,STEM,Electricity-consumption|Trains,TWh,annual,2050,3.171877141
abroad-alone,STEM,Electricity-supply|Battery-out,TWh,annual,2050,1.441417666
abroad-alone,STEM,Electricity-supply|Biogas,TWh,annual,2050,0.853081316
abroad-alone,STEM,Electricity-supply|Gas,TWh,annual,2050,2.560968325
abroad-alone,STEM,Electricity-supply|Geothermal,TWh,annual,2050,2.743418578
abroad-alone,STEM,Electricity-supply|Hydro Dams,TWh,annual,2050,20.64890504
abroad-alone,STEM,Electricity-supply|Hydro RoR,TWh,annual,2050,18.37082894
abroad-alone,STEM,Electricity-supply|Hydrogen,TWh,annual,2050,1.672292827
abroad-alone,STEM,Electricity-supply|Imports,TWh,annual,2050,3.764453557
abroad-alone,STEM,Electricity-supply|Nuclear,TWh,annual,2050,0.0
abroad-alone,STEM,Electricity-supply|PHS-out,TWh,annual,2050,3.714083022
abroad-alone,STEM,Electricity-supply|Solar,TWh,annual,2050,29.78686054
abroad-alone,STEM,Electricity-supply|Total,TWh,annual,2050,95.40616765
