scenario,year,index,Annual,wd-00,wd-01,wd-02,wd-03,wd-04,wd-05,wd-06,wd-07,wd-08,wd-09,wd-10,wd-11,wd-12,wd-13,wd-14,wd-15,wd-16,wd-17,wd-18,wd-19,wd-20,wd-21,wd-22,wd-23,sd-00,sd-01,sd-02,sd-03,sd-04,sd-05,sd-06,sd-07,sd-08,sd-09,sd-10,sd-11,sd-12,sd-13,sd-14,sd-15,sd-16,sd-17,sd-18,sd-19,sd-20,sd-21,sd-22,sd-23
abroad-together,2050,Transport|Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abroad-together,2050,Transport|Hydrogen,5.88E-07,5.42E-08,5.54E-08,5.62E-08,5.62E-08,5.51E-08,5.49E-08,5.50E-08,5.50E-08,5.45E-08,5.39E-08,5.36E-08,5.24E-08,5.21E-08,5.28E-08,5.51E-08,5.67E-08,5.68E-08,7.28E-08,5.90E-08,5.98E-08,6.08E-08,6.13E-08,6.14E-08,6.14E-08,3.90E-08,3.80E-08,3.76E-08,3.75E-08,3.79E-08,3.86E-08,3.91E-08,3.85E-08,3.76E-08,3.70E-08,3.68E-08,3.68E-08,3.68E-08,3.68E-08,3.68E-08,3.76E-08,3.88E-08,6.01E-08,4.07E-08,4.06E-08,4.05E-08,4.04E-08,4.03E-08,4.09E-08
abroad-together,2050,Transport|Gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abroad-together,2050,Transport|Oil,9.414021799,5.02E-07,5.16E-07,5.03E-07,5.04E-07,5.13E-07,5.07E-07,0.533628546,1.909275044,1.370199859,0.842752386,1.101960648,1.451006257,1.35217986,1.733116753,1.896279018,2.342638675,3.59935063,4.253722227,2.807318799,0.598407301,5.47E-07,5.12E-07,5.09E-07,4.98E-07,3.54E-07,3.51E-07,3.64E-07,3.76E-07,3.61E-07,3.81E-07,0.533628037,1.909274955,1.370199795,0.842752329,1.101960506,1.451006241,1.352179845,1.733116689,1.896278979,2.342638648,3.599350389,4.253719198,2.807318684,0.598407139,3.77E-07,3.77E-07,3.78E-07,3.77E-07
abroad-together,2050,Transport|Electricity,13.94812936,1.013127387,0.910510368,0.864599703,0.866461951,0.949336618,1.292192668,1.909151101,1.909151339,1.909151335,1.909151305,1.909151313,1.909151327,1.909151333,1.909151334,1.909151344,1.909151338,1.909151317,1.90915129,1.909151321,1.90915131,1.622660195,1.431156163,1.345408482,1.190481304,1.013127426,0.910510411,0.86459974,0.866461985,0.949336658,1.292192701,1.909151243,1.909151352,1.909151338,1.909151331,1.909151347,1.909151342,1.909151334,1.909151349,1.909151351,1.909151354,1.90915135,1.909150042,1.909151365,1.909151334,1.62266024,1.431156197,1.345408517,1.190481336
abroad-together,2050,"Space heating, DHW|Total",66.27156181,13.09576395,13.18626764,13.28382377,13.28441147,13.26678083,13.23387033,13.19390762,13.12573603,12.7537302,12.28593146,11.8610339,11.63830056,11.60656547,11.8298865,12.22892589,12.69319828,13.00173384,13.12220967,13.27677128,13.41664078,13.51067053,13.59000852,13.68286303,13.874449,2.474499758,2.474499757,2.474499757,2.474499606,2.474499608,2.474499606,2.474499865,2.474499864,2.474499866,2.474499865,2.474499865,2.474499863,2.474499864,2.474499864,2.474499862,2.474499866,2.474499616,2.474499605,2.474499603,2.474499605,2.474499606,2.474499604,2.474499611,2.474499609
abroad-together,2050,"Space heating, DHW|Boiler-Gas",1.00E-05,1.82E-07,1.81E-07,1.81E-07,1.81E-07,1.82E-07,1.82E-07,1.98E-07,1.83E-07,1.82E-07,1.81E-07,1.81E-07,1.81E-07,1.81E-07,1.81E-07,1.82E-07,2.55E-07,2.57E-07,2.57E-07,2.58E-07,2.58E-07,2.58E-07,1.85E-07,1.84E-07,1.84E-07,1.56E-07,1.54E-07,1.53E-07,1.78E-07,1.78E-07,1.77E-07,1.24E-07,1.26E-07,1.24E-07,1.23E-07,1.22E-07,1.22E-07,1.22E-07,1.23E-07,1.24E-07,1.23E-07,1.76E-07,1.77E-07,1.77E-07,1.78E-07,1.78E-07,1.79E-07,1.78E-07,1.73E-07
abroad-together,2050,"Space heating, DHW|Boiler-Oil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abroad-together,2050,"Space heating, DHW|Boiler-Wood",2.40E-06,1.89E-07,1.90E-07,1.91E-07,1.91E-07,1.90E-07,1.89E-07,2.03E-07,1.91E-07,1.89E-07,1.88E-07,1.88E-07,1.89E-07,1.89E-07,1.90E-07,1.90E-07,2.56E-07,2.51E-07,2.50E-07,2.54E-07,2.53E-07,2.53E-07,1.86E-07,1.86E-07,1.87E-07,1.91E-07,1.92E-07,1.93E-07,2.24E-07,2.23E-07,2.23E-07,1.60E-07,1.65E-07,1.63E-07,1.63E-07,1.63E-07,1.63E-07,1.63E-07,1.64E-07,1.65E-07,1.63E-07,2.18E-07,2.14E-07,2.18E-07,2.20E-07,2.21E-07,2.21E-07,2.20E-07,2.20E-07
abroad-together,2050,"Space heating, DHW|Boiler-Hydrogen",0.06117863,7.15E-08,7.14E-08,7.14E-08,7.15E-08,7.17E-08,7.21E-08,7.57E-08,7.26E-08,7.26E-08,7.25E-08,7.32E-08,7.37E-08,7.37E-08,7.34E-08,7.38E-08,8.81E-08,9.05E-08,9.08E-08,9.09E-08,9.07E-08,9.12E-08,7.69E-08,7.66E-08,7.62E-08,7.37E-08,7.43E-08,7.44E-08,8.08E-08,8.08E-08,8.09E-08,6.78E-08,6.83E-08,6.78E-08,6.75E-08,6.75E-08,6.75E-08,6.75E-08,6.77E-08,6.78E-08,6.77E-08,8.00E-08,8.17E-08,8.18E-08,8.16E-08,8.19E-08,8.19E-08,8.17E-08,9.47E-08
abroad-together,2050,"Space heating, DHW|CHP-Gas",1.96E-06,8.61E-08,8.48E-08,8.46E-08,8.44E-08,8.42E-08,8.47E-08,1.11E-07,8.45E-08,8.25E-08,8.20E-08,8.16E-08,8.15E-08,8.09E-08,8.02E-08,7.99E-08,3.34E-07,3.59E-07,3.60E-07,3.60E-07,3.59E-07,3.58E-07,8.52E-08,8.31E-08,8.12E-08,1.37E-07,1.33E-07,1.32E-07,3.32E-07,3.33E-07,3.35E-07,6.27E-08,6.54E-08,6.33E-08,6.28E-08,6.30E-08,6.30E-08,6.32E-08,6.33E-08,6.56E-08,6.40E-08,3.25E-07,3.50E-07,3.51E-07,3.52E-07,3.52E-07,3.53E-07,3.43E-07,3.38E-07
abroad-together,2050,"Space heating, DHW|CHP-Oil",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
