scenario,model,variable,unit,timeResolution,timestep,value
abroad-together,FLEXECO,Electricity-supply|Total,TWh,annual,2050,85.18712831021693
abroad-together,FLEXECO,Electricity-supply|PHS-out,TWh,annual,2050,13.048846486847903
abroad-together,FLEXECO,Electricity-supply|Hydro Dams,TWh,annual,2050,17.92744207588672
abroad-together,FLEXECO,Electricity-supply|Waste,TWh,annual,2050,1.6649061325831083
abroad-together,FLEXECO,Electricity-supply|Hydro RoR,TWh,annual,2050,17.091560311858306
abroad-together,FLEXECO,Electricity-supply|Solar,TWh,annual,2050,29.060175950745915
abroad-together,FLEXECO,Electricity-supply|Wind,TWh,annual,2050,6.394197352295008
abroad-together,FLEXECO,Electricity-supply|Imports,TWh,annual,2050,17.99001037147227
abroad-together,FLEXECO,Electricity-consumption|Total,TWh,annual,2050,87.81978813512028
abroad-together,FLEXECO,Electricity-consumption|Base,TWh,annual,2050,48.170000161412176
abroad-together,FLEXECO,Electricity-consumption|Electrolysis,TWh,annual,2050,0.0
abroad-together,FLEXECO,Electricity-consumption|Battery-vehicles,TWh,annual,2050,13.144226641262211
abroad-together,FLEXECO,Electricity-consumption|Heat pumps,TWh,annual,2050,11.731052185733073
abroad-together,FLEXECO,Electricity-consumption|PHS-in,TWh,annual,2050,14.774509146712862
abroad-together,FLEXECO,Electricity-consumption|Exports,TWh,annual,2050,15.357350546568675
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 00:00,3.5428035411275896
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 01:00,3.7353024531882695
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 02:00,3.7629852015134753
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 03:00,4.038635536415025
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 04:00,3.700643017651228
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 05:00,3.610379894412835
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 06:00,3.7330461254052314
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 07:00,3.8392743786128065
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 08:00,1.7377397986542997
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 09:00,2.317668614332115
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 10:00,3.3902510744853998
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 11:00,3.9628385226783815
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 12:00,3.78234558314129
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 13:00,3.4832420267296396
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 14:00,6.060599627639362
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 15:00,4.907482157007987
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 16:00,5.189401909137484
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 17:00,6.559244844014272
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 18:00,6.649398722021859
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 19:00,5.448891766686832
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 20:00,6.511627893294915
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 21:00,6.6232470318483125
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 22:00,5.737481419991388
abroad-together,FLEXECO,Electricity-supply|Total,GW,typical-day-winter,2050 23:00,5.2902840153264075
abroad-together,FLEXECO,Electricity-supply|PHS-out,GW,typical-day-winter,2050 00:00,0.024090086852929724
