scenario_group,scenario_name,scenario_variant,variable,use_technology_fuel,country,model,unit,time_resolution,timestamp,value,uploaded_by,uploaded_at
cross202506,abroad-nores-full,reference,electricity_consumption,elec_appliances,CH,zengarden,TWh,annual,2025,39.4,zengarden,2026-03-04 11:55:08.757761+00:00
cross202506,abroad-nores-full,reference,electricity_consumption,elec_appliances,CH,zengarden,TWh,annual,2030,38.9,zengarden,2026-03-04 11:55:08.757761+00:00
cross202506,abroad-nores-full,reference,electricity_consumption,elec_appliances,CH,zengarden,TWh,annual,2035,38.3,zengarden,2026-03-04 11:55:08.757761+00:00
cross202506,abroad-nores-full,reference,electricity_consumption,elec_appliances,CH,zengarden,TWh,annual,2040,37.7,zengarden,2026-03-04 11:55:08.757761+00:00
cross202506,abroad-nores-full,reference,electricity_consumption,elec_appliances,CH,zengarden,TWh,annual,2045,37.20000000000001,zengarden,2026-03-04 11:55:08.757761+00:00
cross202506,abroad-nores-full,reference,electricity_consumption,elec_appliances,CH,zengarden,TWh,annual,2050,36.6,zengarden,2026-03-04 11:55:08.757761+00:00
cross202506,abroad-nores-full,reference,electricity_consumption,battery_in,CH,zengarden,TWh,annual,2025,0.0242853478027381,zengarden,2026-03-04 11:55:08.757761+00:00
cross202506,abroad-nores-full,reference,electricity_consumption,battery_in,CH,zengarden,TWh,annual,2030,6.008216738088264e-05,zengarden,2026-03-04 11:55:08.757761+00:00
cross202506,abroad-nores-full,reference,electricity_consumption,battery_in,CH,zengarden,TWh,annual,2035,0.257286099197147,zengarden,2026-03-04 11:55:08.757761+00:00
cross202506,abroad-nores-full,reference,electricity_consumption,battery_in,CH,zengarden,TWh,annual,2040,2.456271286241983,zengarden,2026-03-04 11:55:08.757761+00:00
cross202506,abroad-nores-full,reference,electricity_consumption,battery_in,CH,zengarden,TWh,annual,2045,4.5326519196118245,zengarden,2026-03-04 11:55:08.757761+00:00
cross202506,abroad-nores-full,reference,electricity_consumption,battery_in,CH,zengarden,TWh,annual,2050,7.271758357286168,zengarden,2026-03-04 11:55:08.757761+00:00
cross202506,abroad-nores-full,reference,electricity_consumption,phs_in,CH,zengarden,TWh,annual,2025,2.507952436076911,zengarden,2026-03-04 11:55:08.757761+00:00
cross202506,abroad-nores-full,reference,electricity_consumption,phs_in,CH,zengarden,TWh,annual,2030,6.8794588491382,zengarden,2026-03-04 11:55:08.757761+00:00
cross202506,abroad-nores-full,reference,electricity_consumption,phs_in,CH,zengarden,TWh,annual,2035,8.708354966833198,zengarden,2026-03-04 11:55:08.757761+00:00
cross202506,abroad-nores-full,reference,electricity_consumption,phs_in,CH,zengarden,TWh,annual,2040,9.633842414325846,zengarden,2026-03-04 11:55:08.757761+00:00
cross202506,abroad-nores-full,reference,electricity_consumption,phs_in,CH,zengarden,TWh,annual,2045,8.123496143053003,zengarden,2026-03-04 11:55:08.757761+00:00
cross202506,abroad-nores-full,reference,electricity_consumption,phs_in,CH,zengarden,TWh,annual,2050,9.132087335746103,zengarden,2026-03-04 11:55:08.757761+00:00
cross202506,abroad-nores-full,reference,electricity_consumption,road_private,CH,zengarden,TWh,annual,2025,0.3214250969720414,zengarden,2026-03-04 11:55:08.757761+00:00
